"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Alexandria","Point Alexandria Investments Inc","Holiday Inn Express (Breakfast Bar)","#REF!","Food Establishment","","Withdrawn","","NO","NO","Smoke Free","Grease Trap (interior)","","12/16/2020","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"EHD - Richmond","Vanquish Restaurant & Ultra Lounge","Vanquish Restaurant & Ultra Lounge","AGML-9EKKND","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","12/19/2013","1/14/2014","1/14/2014","12/31/2014","1005 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Bliss","Bliss","HMES-8W6HFC","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","Grease Trap (Interior)","NULL","7/10/2012","7/3/2012","7/3/2012","9/30/2013","1005 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Palazzio’s Restaurant","Palazzio's Restaurant","HMES-A2KQDY","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","9/16/2015","9/25/2015","10/1/2015","9/30/2016","1005 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Vanquish Restaurant & Ultra Lounge","Vanquish Restaurant & Ultra Lounge","HMES-9GRT7X","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","Grease Trap (Interior)","4","2/28/2014","1/14/2014","4/1/2015","3/31/2016","1005 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","The Hash Pot","The Hash Pot","HMES-9NNKSU","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Exempt","None","6","9/5/2014","9/15/2014","9/15/2014","9/30/2015","1005 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","El Paraiso Family Restaurant","El Paraiso Family Restaurant","#REF!","Food Establishment","","Permitted","3","NO","NO","Smoke Free","Grease Trap (interior)","4","12/21/2021","1/20/2022","1/19/2023","12/31/2023","6832-A  Midlothian Tpke","Richmond","23225","NULL","NULL"
"EHD - Richmond","Viva Honduras","Viva Honduras","HMES-A8YPQK","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","4/12/2016","4/25/2016","4/1/2017","3/31/2018","6832-A  Midlothian Tpke","Richmond","23225","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Golden Dragon","Golden Dragon","DSIS-5ERQ4Y","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","11/25/2002","1/1/2002","1/1/2008","12/31/2014","2112 Euclid Avenue","Bristol","24201","NULL","NULL"
"EHD - Richmond","Dora’s Brazilian Grill","Dora's Brazilian Grill","HMES-7SPR48","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","6/4/2009","11/12/2009","1/1/2011","12/31/2011","1331 E. Cary Street","Richmond","23219","NULL","NULL"
"EHD - Prince William","Almitas Restaurant","Almitas Restaurant","AJOS-6CJNW3","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","12","5/19/2005","5/20/2005","6/1/2019","5/31/2023","13418 Occoquan Rd","Woodbridge","22191","NULL","NULL"
"EHD - Prince William","Almitas Restaurant","Almita's Restaurant","JSUZ-5YPG75","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","8/2/2004","12/7/2004","1/26/2005","12/7/2006","13418 Occoquan Rd","Woodbridge","22191","NULL","NULL"
"EHD - Richmond","Granite Snack Bar","Granite Snack Bar","SYOG-58FVX7","Food Establishment","Seasonal Fast Food Restaurant","Surrendered","2","","NULL","","","NULL","1/1/2002","1/1/2002","5/31/2006","5/31/2007","6423 Glyndon Lane","Richmond","23225","NULL","NULL"
"EHD - Alleghany-Roanoke","730 Loudon Ave NW","Loudon Avenue Christian Church","KHAN-8W6QLN","Food Establishment","Summer Food Service Program Feeding Site","Surrendered","1","","NULL","Smoke Free","","NULL","6/14/2012","NULL","NULL","NULL","730 Loudon Ave NW","Roanoke","24016","NULL","NULL"
"EHD - Rappahannock","Grioli’s Italian Bistro","Grioli's Italian Bistro","DCOO-75NPHV","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","8/1/2007","3/11/2008","3/11/2008","12/31/2010","9840 Jefferson Davis Highway","Fredericksburg","22407","NULL","NULL"
"EHD - Richmond","Grace Covenant Child Development Center","Grace Covenant Child Development Center","#REF!","Food Establishment","Child Care Food Service","Business Closed","4","NO","NO","Smoke Free","Grease Trap (Interior)","3","2/13/2003","10/6/2003","10/1/2018","9/30/2019","1617 Monument Avenue","Richmond","23220","NULL","NULL"
"EHD - Alleghany-Roanoke","1405 Patterson Ave SW","Hegira House","KCHS-5CCLQB","Food Establishment","Group Home Food Service","Surrendered","2","","NULL","Non-Smoking","","NULL","5/14/2003","6/1/2003","6/1/2006","5/31/2007","1405 Patterson Ave SW","Roanoke","24016","NULL","NULL"
"EHD - Alleghany-Roanoke","1405 Patterson Ave SW","BRBH - The Patterson Center","KHAN-76CL5F","Food Establishment","Group Home Food Service","Surrendered","2","","NULL","Non-Smoking","Grease Trap (Interior)","NULL","8/23/2007","9/26/2007","9/26/2007","9/25/2008","1405 Patterson Ave SW","Roanoke","24016","NULL","NULL"
"EHD - Richmond","Tea Company","Tea Company","HMES-784LKZ","Food Establishment","Other Food Service","Surrendered","1","","NULL","Non-Smoking","None","NULL","6/18/2007","10/18/2007","10/1/2009","9/30/2010","902 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Fairfax","Kien Giang Quan","Kien Giang Quan","SAFY-A64JMW","Food Establishment","Full Service Restaurant","Permitted","3","","NULL","Smoke Free","Grease Trap (Interior)","4","1/11/2016","1/15/2016","2/16/2016","12/31/2019","6795 Wilson Bv #19 & #21","FALLS CHURCH","22044","NULL","NULL"
"EHD - Mount Rogers","186-School-Marion Intermediate School - CLOSED","Marion Intermediate School","LCUP-5ECL2P","Food Establishment","Public Elementary School Food Service","Surrendered","3","","NULL","Smoke Free","","4","2/26/1963","2/26/1963","1/1/2013","12/31/2013","820 Stage Street","Marion","24354","NULL","NULL"
"EHD - Prince William","Kentucky Fried Chicken","Kentucky Fried Chicken","JSUZ-55EMRS","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","","NULL","9/11/2002","2/6/2003","2/1/2012","2/28/2013","7789 Sudley Rd","Manassas","20109","NULL","NULL"
"EHD - Prince William","Kentucky Fried Chicken","Kentucky Fried Chicken","AJOS-8X6PW9","Food Establishment","Fast Food Restaurant/Caterer","Permitted","1","NO","NO","Smoke Free","Grease Trap (Interior)","12","8/14/2012","8/20/2012","9/1/2018","8/31/2023","7789 Sudley Rd","Manassas","20109","NULL","NULL"
"EHD - Arlington","Colony Grill","Colony Grill","#REF!","Food Establishment","","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","5/18/2020","10/9/2020","1/9/2023","12/31/2023","2800 Clarendon Blvd","Arlington","22201","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Vinyard Restaurant, Closed","Vinyard Restaurant","DSIS-5F2K5L","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","12/16/2002","1/1/2003","1/1/2006","12/31/2006","603 Gate City Hwy.","Bristol","24201","NULL","NULL"
"EHD - Richmond","Brio Tuscan Grille","Brio Tuscan Grille","#REF!","Food Establishment","Full Service Restaurant","Voluntary Closure","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","2/9/2016","2/16/2016","1/1/2019","12/31/2019","9210  Stony Point Pkwy","Richmond","23225","NULL","NULL"
"EHD - Prince William","Kim’s Ocean Seafood Inc.","Kim's Ocean Seafood Inc.","JSUZ-59XMYK","Food Establishment","Carry Out Food Service Only","Surrendered","3","","NULL","Non-Smoking","","NULL","3/4/2002","10/28/2003","9/29/2006","10/28/2007","7237 Centreville Road","Manassas","20111","NULL","NULL"
"EHD - Prince William","Mo’s Galley","Mo's Galley","JSUZ-5YAM69","Food Establishment","Full Service Restaurant","Withdrawn","4","","NULL","Non-Smoking","","NULL","12/31/1900","NULL","NULL","NULL","16205 Neabsco Rd","Woodbridge","22191","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-Food-Kuntry Kookun & Katerin","117-Fee-Food-Kuntry Kookun & Katerin","SBAE-8EKQXR","Food Establishment","Caterer","Surrendered","4","","NULL","Smoke Free","","NULL","2/15/2011","2/15/2011","2/15/2011","12/31/2011","517 W Stuart Dr.","Hillsville","24343","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Trails Crossing,(CLOSED)","Trails Crossing","DVIS-745KAR","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","6/12/2007","6/13/2007","1/1/2008","12/31/2008","101 South Shady Ave","Damascus","24236","NULL","NULL"
"EHD - Mount Rogers","210-CLOSED-fee-food-Scoot’s of Galax","Scoot's of Galax","SCOX-8VFRDA","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","None","6","6/12/2012","6/12/2012","1/1/2016","12/31/2016","104 North Main Street","Galax","24333","NULL","NULL"
"EHD - Richmond","Christian Tabernacle Baptist Church/Watchcare","Christian Tabernacle Baptist Church/Watchcare","#REF!","Food Establishment","Child Care Food Service","Permitted","4","NO","NO","Smoke Free","None","3","1/1/2002","1/1/2002","1/30/2023","12/31/2023","5100 Salem St","Richmond","23231","NULL","NULL"
"EHD - Richmond","Tony’s Barbecue","Tony's Barbecue","SYOG-58FW38","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Other","NULL","1/1/2002","1/1/2002","7/1/2012","6/30/2013","207 North 3rd Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Southern Blues","Southern Blues","AGML-8USPLJ","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","5/30/2012","7/17/2012","7/17/2012","9/30/2013","207 North 3rd Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Southern Blues","Southern Blues","HMES-8ZULBB","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","5/30/2012","7/17/2012","7/1/2013","6/30/2014","207 North 3rd Street","Richmond","23219","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Wally's Wings","KHAN-BD8RLP","Food Establishment","Carry Out Food Service Only","Business Closed","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","9/15/2020","11/6/2020","11/6/2020","11/30/2021","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Good To Go","KHAN-7YKSTK","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","","NULL","12/9/2009","12/15/2009","12/15/2009","12/14/2010","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Kawa International","KHAN-9NCMLZ","Food Establishment","Carry Out Food Service Only","Out of Business","1","","NULL","Smoke Free","Grease Trap (Interior)","12","8/20/2014","10/3/2014","10/3/2014","10/31/2015","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Java The Hutt","KHAN-7DRM5L","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Outdoor","None","NULL","4/9/2008","4/17/2008","4/17/2008","4/16/2009","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Las Tapatias Taco Express","GHAY-AYTG7M","Food Establishment","Carry Out Food Service Only","Out of Business","3","","NULL","Smoke Free","","4","5/15/2018","5/24/2018","5/24/2018","5/31/2019","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","460 Mini Bar","KHAN-854KXA","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","","NULL","4/23/2010","5/24/2010","5/24/2010","5/23/2011","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Woody Sushi","KHAN-A8PNV2","Food Establishment","Carry Out Food Service Only","Out of Business","3","","NULL","Smoke Free","Grease Trap (Interior)","4","4/4/2016","4/18/2016","5/1/2017","4/30/2018","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Mountain Mocha Coffee Company","MLES-8NGJY5","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","None","NULL","11/9/2011","11/10/2011","11/10/2011","11/9/2012","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Bratcher's Drive Thru","KHAN-7SWRHQ","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Non-Smoking","None","NULL","6/11/2009","6/17/2009","6/17/2009","6/16/2010","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","B Que's","KHAN-9KWH7X","Food Establishment","Carry Out Food Service Only","Withdrawn","1","","NULL","Smoke Free","","NULL","5/1/2014","NULL","NULL","NULL","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","El Budare Grill","GHAY-ASVKTG","Food Establishment","Carry Out Food Service Only","Out of Business","3","","NULL","Smoke Free","","4","11/7/2017","11/8/2017","11/8/2017","11/30/2018","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3410 Orange Avenue NE","Joltz","KHAN-6BLPB3","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Non-Smoking","","NULL","4/19/2005","4/29/2005","4/29/2007","4/28/2008","3410 Orange Avenue NE","Roanoke","24012","NULL","NULL"
"EHD - Rappahannock","Ponderosa","Ponderosa","JDAS-55HM9B","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","8/1/2003","10/10/2002","10/1/2004","12/31/2012","591 Warrenton Road","Fredericksburg","22406","NULL","NULL"
"EHD - Rappahannock","Ponderosa","Ponderosa","DCOO-8Z6J7G","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","10/15/2012","10/24/2012","1/1/2015","12/31/2015","591 Warrenton Road","Fredericksburg","22406","NULL","NULL"
"EHD - Richmond","Al - Kawthar Catering / Take Out","A l- Kawthar Catering / Take Out","HMES-7VVR87","Food Establishment","Full Service Restaurant/Caterer","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","9/14/2009","9/30/2009","9/30/2009","9/30/2010","315 - 317 N.2nd Street","Richmond","23219","NULL","NULL"
"EHD - Prince William","Five Guys Burgers and Fries","Five Guys Burgers and Fries","AJOS-APNHSX","Food Establishment","Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","","7/26/2017","8/9/2017","8/1/2018","7/31/2023","4109 Merchant Plz","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","Five Guys Burgers and Fries","Five Guys Burgers and Fries","AJOS-6T6GQA","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","Grease Trap (Interior)","12","8/17/2005","5/23/2006","6/1/2016","5/31/2017","4109 Merchant Plz","Woodbridge","22192","NULL","NULL"
"EHD - Mount Rogers","210-CLOSED-Fee-Food-Sonic Drive In","Sonic Drive In - Galax","JNON-5B7PKH","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2007","12/31/2007","970 East Stuart Drive","Galax","24333","NULL","NULL"
"EHD - Prince William","Prince William County Schools Admin. Dining Room","PWC Schools Administrative Dining Room","JSUZ-55EPUE","Food Establishment","State Institution Food Service","Surrendered","2","","NULL","Smoke Free","","NULL","9/18/2002","9/18/2002","7/12/2010","8/31/2011","14800 Joplin Rd","Manassas","20112","NULL","NULL"
"EHD - Richmond","La Pirraya Restaurant & Nightclub","La Pirraya Restaurant & Nightclub","AGML-9AES6U","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","8/7/2013","9/13/2013","9/13/2013","9/30/2014","3001 Jefferson Davis Hwy","Richmond","23224","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Whistle Pig, (CLOSED)","Whistle Pig(CLOSED)","DVIS-7YJSBH","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","NULL","12/8/2009","11/18/2011","12/31/2014","205 Town Square","Glade Spring","24340","NULL","NULL"
"EHD - Richmond","6500 Midlothian Sports Bar","6500 Midlothian Sports Bar","HMES-7PYRAE","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","None","NULL","3/9/2009","NULL","NULL","NULL","6500 Midlothian Tpke","Richmond","23224","NULL","NULL"
"EHD - Richmond","Mexico Lindo Restaurant","Mexico Lindo Restaurant","AGML-8L4HNK","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","7/1/2011","7/8/2011","7/1/2013","6/30/2014","3900 Old Hopkins Road","Richmond","23225","NULL","NULL"
"EHD - Richmond","Croaker’s Spot","Croaker's Spot","AGML-5PJHUQ","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","7/10/2003","7/17/2003","7/1/2009","6/30/2010","119 East Leigh Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Jackson Beer Garden & Smoke House","Jackson Beer Garden & Smoke House","#REF!","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","9/13/2016","11/16/2016","10/1/2018","9/30/2019","119 East Leigh Street","Richmond","23219","NULL","NULL"
"EHD - Prince William","Shoppers Food Warehouse","Shoppers Food Warehouse","AVEA-5F9LER","Food Establishment","Grocery Store Food Service","Surrendered","3","","NULL","","","NULL","12/31/1900","NULL","NULL","NULL","7471 Somerset Crossing Dr","Gainesville","20155","NULL","NULL"
"EHD - Fairfax","Emma","Emma","GNAN-6KBGP4","Food Establishment","Mobile food unit","Surrendered","4","","NULL","Outdoor","","NULL","12/19/2005","12/21/2005","12/22/2005","12/31/2007","8009 McLean Street","Manassas","20111","NULL","NULL"
"EHD - Fairfax","Emma","Emma","MVVE-5CE3NL","Food Establishment","Mobile Food Unit","Surrendered","","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2002","12/31/2002","8009 McLean Street","Manassas","20111","NULL","NULL"
"EHD - Fairfax","Emma","Emma","MVVE-5CE3PV","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Non-Smoking","","3","1/1/2002","1/1/2002","1/1/2002","12/31/2004","8009 McLean Street","Manassas","20111","NULL","NULL"
"EHD - Rappahannock","Virginia Barbeque Company","Virginia Barbeque Company","DCOO-6RFP7A","Food Establishment","Full Service Restaurant","Surrendered","1","","NULL","Non-Smoking","","NULL","6/28/2006","NULL","NULL","NULL","10205 Southpoint Parkway","Fredericksburg","22408","NULL","NULL"
